planner,total,Barman BDI,Monroe Fully,Monroe Partially,PCP,Rover,Satellite,Transport,Ultralight Cockpit,Woodworking,colouring
complex-config-sat-1,7.60238,0.66,0.94,0.70,0.82,0.86,0.98,0.26,1.00,0.70,0.69
complex-config-sat-2,7.47407,0.73,0.94,0.64,0.82,0.85,1.00,0.17,1.00,0.63,0.69
config-sat-1,7.47253,0.60,0.96,0.66,0.82,0.81,1.00,0.26,1.00,0.70,0.66
config-sat-2,6.96385,0.54,0.84,0.56,0.82,0.83,1.00,0.15,1.00,0.57,0.66
complex-config-sat-3,6.92736,0.50,0.90,0.60,0.82,0.75,1.00,0.19,1.00,0.50,0.66
config-sat-3,6.76902,0.50,0.84,0.52,0.82,0.73,1.00,0.20,1.00,0.50,0.66
lamda-po-agl-gas-ao,6.46739,0.15,0.91,0.75,0.82,0.43,0.99,0.33,1.00,0.42,0.66
ppro-po-sat-gas-ff,6.30870,0.19,0.96,0.72,0.82,0.27,0.97,0.32,1.00,0.39,0.66
lamda-po-agl-gas-lmc,6.28603,0.15,0.95,0.66,0.82,0.37,0.99,0.29,1.00,0.39,0.66
aries-sat,4.73026,0.15,0.44,0.52,0.59,0.79,1.00,0.32,0.66,0.00,0.27
SIADEX,2.17641,0.62,0.26,0.04,0.00,0.31,0.83,0.03,0.00,0.09,0.0
