planner,total,AssemblyHierarchical,Barman BDI,Blocksworld HPDDL,Depots,Factories simple,Freecell Learned,Hiking,Logistics Learned,Minecraft Player,Minecraft Regular,Monroe Fully,Monroe Partially,Multiarm Blocksworld,Robot,Rover GTOHP,Satellite GTOHP,Towers,Transport,Woodworking,SharpSAT,lamps,Snake
PandaDealer-agile-1,11.74366,0.86,0.71,0.74,0.70,0.37,0.11,0.63,0.76,0.07,0.54,0.55,0.32,0.83,0.84,0.58,0.63,0.44,0.49,0.62,0.39,0.50,0.09
PandaDealer-agile-lama,11.68335,0.81,0.71,0.63,0.80,0.40,0.07,0.61,0.74,0.07,0.54,0.55,0.32,0.81,0.84,0.56,0.61,0.45,0.68,0.54,0.39,0.50,0.09
lamda-to-agl-gbfs-lmc,11.45496,0.81,0.73,0.57,0.79,0.37,0.02,0.60,0.73,0.07,0.52,0.55,0.27,0.74,0.82,0.60,0.62,0.43,0.72,0.54,0.39,0.48,0.08
PandaDealer-agile-2,11.29298,0.71,0.79,0.70,0.81,0.31,0.15,0.64,0.78,0.07,0.54,0.56,0.34,0.45,0.84,0.54,0.55,0.45,0.47,0.65,0.39,0.47,0.08
lamda-to-agl-gbfs-ao,11.15163,0.67,0.73,0.64,0.81,0.30,0.01,0.63,0.71,0.07,0.52,0.54,0.30,0.74,0.81,0.60,0.62,0.43,0.54,0.55,0.39,0.47,0.07
ppro-to-agl-gbfs-add,11.04744,0.85,0.66,0.66,0.70,0.31,0.07,0.63,0.42,0.08,0.52,0.55,0.28,0.76,0.83,0.62,0.65,0.44,0.53,0.55,0.40,0.46,0.07
toad-io-dfad,8.24055,0.92,0.52,0.56,0.66,0.18,0.00,0.27,0.41,0.01,0.46,0.00,0.00,0.73,0.81,0.23,0.61,0.43,0.18,0.68,0.02,0.49,0.06
toad-io-ff,8.05728,0.92,0.51,0.55,0.69,0.18,0.00,0.27,0.41,0.01,0.46,0.00,0.00,0.74,0.81,0.23,0.43,0.43,0.16,0.69,0.02,0.49,0.06
toad-po-dfad,7.95838,0.92,0.52,0.56,0.65,0.19,0.00,0.27,0.41,0.01,0.47,0.00,0.00,0.73,0.80,0.23,0.42,0.39,0.18,0.65,0.02,0.49,0.05
LiftedTreePathBUGFIX,6.65637,0.07,0.69,0.00,0.60,0.16,0.00,0.42,0.01,0.05,0.35,0.64,0.60,0.00,0.20,0.49,0.50,0.18,0.67,0.87,0.15,0.00,0.02
SIADEX,3.65923,0.00,0.91,0.00,0.69,0.00,0.00,0.00,0.00,0.12,0.34,0.24,0.00,0.01,0.00,0.76,0.00,0.45,0.03,0.10,0.00,0.00,0.00
aries-agile,1.94816,0.05,0.10,0.00,0.19,0.04,0.00,0.02,0.00,0.00,0.00,0.23,0.20,0.00,0.14,0.17,0.17,0.14,0.22,0.00,0.00,0.27,0.00
OptiPlan,0.40067,0.00,0.00,0.00,0.02,0.04,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.10,0.00,0.14,0.03,0.00,0.00,0.00


