planner,total,AssemblyHierarchical ;30,Barman-BDI ;20,Blocksworld-HPDDL ;30,Depots ;30,Factories-simple ;20,Freecell-Learned-ECAI-16 ;60,Hiking ;30,Logistics-Learned-ECAI-16 ;80,Minecraft-Player ;20,Minecraft-Regular ;59,Monroe-Fully-Observable ;20,Monroe-Partially-Observable ;20,Multiarm-Blocksworld ;74,Robot ;20,Rover-GTOHP ;30,Satellite-GTOHP ;20,Towers ;20,Transport ;40,Woodworking ;30,SharpSAT ;21,lamps ;30,Snake ;27
PandaDealer-agile-1,545,30,16,29,22,12,14,26,80,4,42,20,13,73,20,28,19,13,22,30,10,18,4
PandaDealer-sat-1,544,30,16,30,22,10,14,26,80,4,42,20,13,74,20,27,19,13,22,30,10,18,4
PandaDealer-agile-lama,543,30,16,24,27,14,9,25,80,4,42,20,14,73,20,28,19,13,30,24,10,17,4
lamda-to-agl-gbfs-lmc,531,30,17,22,26,9,5,24,80,4,42,20,12,73,20,29,19,13,33,23,10,17,3
lamda-to-agl-gbfs-ao,531,30,18,27,27,9,3,25,80,4,42,20,13,73,20,28,19,13,26,24,10,17,3
PandaDealer-agile-2,520,27,18,29,27,9,26,26,80,4,42,20,15,39,20,26,16,13,23,30,10,17,3
ppro-to-sat-gbfs-add,504,30,15,27,22,8,18,26,48,4,42,20,11,74,20,30,19,13,25,23,10,16,3
ppro-to-agl-gbfs-add,503,30,15,27,22,8,18,26,48,4,42,20,11,73,20,30,19,13,25,23,10,16,3
toad-io-dfad,405,30,16,22,25,5,0,12,58,1,39,0,0,73,20,9,20,12,9,30,1,19,4
toad-po-dfad,394,30,16,22,23,5,0,12,58,1,39,0,0,73,20,9,12,12,9,30,1,19,3
toad-io-ff,391,30,15,21,26,5,0,12,56,1,39,0,0,73,20,9,12,12,7,30,1,18,4
PandaDealer-sat-2,358,6,10,9,24,7,0,21,43,4,42,20,13,18,11,19,15,13,25,30,10,15,3
PandaDealer-optimal,251,4,10,5,18,6,0,7,28,2,37,19,12,11,11,8,6,13,10,17,9,15,3
LiftedTreePathBUGFIX,243,3,18,0,22,4,0,14,1,2,31,17,17,0,5,23,13,4,34,30,4,0,1
ppro-xo-opt-as-lmc,240,4,10,5,18,5,0,7,28,1,37,14,10,11,11,8,6,13,9,17,9,15,2
ppro-xo-opt-as-dof-lmc,217,3,8,5,18,5,0,17,22,1,30,0,0,14,11,8,10,11,15,16,8,14,1
ppro-xo-opt-as-dof-ao,197,3,7,0,18,4,0,18,22,1,33,0,0,0,11,8,10,11,15,15,7,13,1
SIADEX,135,0,20,0,22,0,0,0,0,3,38,6,0,1,0,30,0,11,1,3,0,0,0
aries-sat,84,2,3,0,12,1,0,1,1,0,1,8,8,0,4,7,6,4,16,0,0,10,0
aries-agile,83,3,4,0,12,1,0,1,1,0,0,8,7,0,4,6,6,4,16,0,0,10,0
OptiPlan,25,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4,3,0,13,1,0,0,0
aries-opt,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

