planner,total,AssemblyHierarchical,Barman BDI,Blocksworld HPDDL,Depots,Factories simple,Freecell Learned,Hiking,Logistics Learned,Minecraft Player,Minecraft Regular,Monroe Fully,Monroe Partially,Multiarm Blocksworld,Robot,Rover GTOHP,Satellite GTOHP,Towers,Transport,Woodworking,SharpSAT,lamps,Snake
PandaDealer-agile-lama,15.28808,0.89,0.78,0.77,0.90,0.67,0.13,0.83,0.98,0.20,0.71,0.94,0.68,0.95,0.92,0.88,0.92,0.65,0.73,0.69,0.46,0.48,0.14
lamda-to-agl-gbfs-ao,15.15338,1.00,0.84,0.84,0.90,0.42,0.04,0.83,1.00,0.20,0.71,0.97,0.65,0.96,0.90,0.90,0.94,0.65,0.65,0.76,0.48,0.40,0.11
PandaDealer-sat-1,14.89349,0.83,0.72,0.94,0.72,0.48,0.20,0.87,0.85,0.20,0.71,0.93,0.63,0.97,0.81,0.87,0.94,0.65,0.55,0.97,0.47,0.45,0.14
lamda-to-agl-gbfs-lmc,14.87160,0.89,0.80,0.71,0.87,0.42,0.07,0.80,1.00,0.20,0.71,0.97,0.59,0.95,0.91,0.93,0.92,0.65,0.80,0.70,0.47,0.40,0.11
ppro-to-sat-gbfs-add,13.62710,0.83,0.58,0.83,0.72,0.37,0.24,0.87,0.42,0.20,0.61,0.91,0.52,0.96,0.82,0.93,0.91,0.65,0.58,0.76,0.47,0.35,0.10
PandaDealer-sat-2,11.34366,0.20,0.50,0.30,0.80,0.35,0.00,0.70,0.54,0.20,0.71,0.96,0.65,0.24,0.54,0.61,0.74,0.65,0.62,0.95,0.48,0.50,0.11
toad-io-dfad,10.92964,1.00,0.71,0.73,0.83,0.25,0.00,0.40,0.55,0.05,0.66,0.00,0.00,0.98,0.98,0.29,0.97,0.60,0.22,0.98,0.05,0.53,0.15
toad-po-dfad,10.43419,1.00,0.71,0.73,0.77,0.25,0.00,0.40,0.55,0.05,0.66,0.00,0.00,0.98,0.98,0.29,0.58,0.60,0.22,0.98,0.05,0.53,0.11
toad-io-ff,10.23798,1.00,0.65,0.70,0.85,0.25,0.00,0.40,0.50,0.05,0.66,0.00,0.00,0.98,0.98,0.28,0.54,0.60,0.17,0.98,0.05,0.50,0.12
LiftedTreePathBUGFIX,7.12610,0.10,0.64,0.00,0.71,0.15,0.00,0.46,0.01,0.08,0.45,0.71,0.71,0.00,0.25,0.52,0.40,0.20,0.67,0.83,0.19,0.00,0.03
SIADEX,3.45194,0.00,0.61,0.00,0.73,0.00,0.00,0.00,0.00,0.15,0.64,0.19,0.00,0.01,0.00,0.45,0.00,0.55,0.03,0.09,0.00,0.00,0.00
aries-sat,3.19394,0.07,0.15,0.00,0.40,0.05,0.00,0.03,0.01,0.00,0.02,0.40,0.40,0.00,0.20,0.23,0.30,0.20,0.40,0.00,0.00,0.33,0.00
OptiPlan,0.72308,0.00,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.12,0.14,0.00,0.31,0.03,0.00,0.00,0.00
